comment,score,number_reply,parent_id
Regular baby formula is derived from cows milk though. It’s not vegan. That’s the reason babies with dairy allergies or milk intolerances have to have soy formula.,7,0,insanepeoplefacebook
"including *cow milk*

breast milk is vegan because you don't have to kill and exploit any animals for it",18,1,insanepeoplefacebook
You don't /have/ to exploit cows either.,-14,1,insanepeoplefacebook
[removed],2,2,insanepeoplefacebook
"I completely support your right to lead a vegan lifestyle. But not every dairy farm (or farm in general) operates to the extent that we see in these exposés. 

Maybe I'm just skewed from living in a small area though, and the fact that the farms in my area aren't huge corporate-run operations with the sole intent of profiting. Most people around here do it to eat, and thus the standards at these local farms are far superior to all the ones I see being petitioned to be shut down.

To me, it's no different than those that hunt to eat versus those that hunt to say they did",-3,2,insanepeoplefacebook
Vegans aren't real keen on hunting either fyi,5,1,insanepeoplefacebook
"Obviously not, it involves killing animals",1,1,insanepeoplefacebook
I'm just not sure what your point was though.,4,1,insanepeoplefacebook
"My point was that farming so that your family can eat is akin to hunting so that your family can eat, and that the sort of mass-produced farming that we see examples of all over the internet is like hunting and not using the animal to the fullest extent of your capabilities in that both of these are unethical",2,1,insanepeoplefacebook
"farms can't just sit around losing money, and no matter how much you want to believe it's ethical and that there's no cruelty or exploitation on those farms, there absolutely is.

they're bred to be exploited, they're forcibly impregnated often so they produce milk, and they're sent off to be killed when they stop producing enough. that's their entire life. 

this isn't even going into what happens to the calves.",4,1,insanepeoplefacebook
"Except there's no forcible impregnation at the farms I'm talking about. As I said they live that way to eat, not make money. While I'm not naive enough to assume that all farms engage in the same practices, I was just pointing out that not all farms operate this way. I wouldn't have brought it up if I hadn't have worked there as a kid for spending money and knew what goes on in my area. Now I'd be remiss if I didn't say that I'm sure a few farms in the area operate unethically, but none of the ones I have ever worked at / my friends lived on engage in overly unethical practices to the extent that I've seen on the internet",4,0,insanepeoplefacebook
"There are plenty of dairy operations that dont kill cows and calfs frequently. Also plenty that dont lock there cows in a cage and forcibly impregnate them.

Just google cow calf dairys, there are 1000's of them, and none of them do the things you suggest.

Just because the majority of the industry does these things does not mean the the whole industry does these things.",-1,1,insanepeoplefacebook
[removed],1,1,insanepeoplefacebook
"You talk as if you know this for a fact.. but here i am living on a dairy farm with plenty of cows that have lived a full and natural life span.

We also do not sell our calfs for veal, they are raised with there mothers for beef. 
None of our cows are forcibly impregnated either, we get a bull in once a year and do it naturally.

I drink milk, and its not from abused and exploited cows. That is the essence of what a cow-calf dairy is.

Sounds like you read something on the internet and figured this must be how all dairy's do it.. I suggest you do some real research.",-1,0,insanepeoplefacebook
"I know what it means, genius. At this age they're typically drinking nothing but breastmilk.",7,1,insanepeoplefacebook
"There are mothers who dont produce enough milk to breastfeed, and formulas, even soy usually are not vegan. So what was the reason for the question if you knew what it meant. Your question implies that the only thing vegans cant eat is meat as you're missing a before statement that would give context.",9,1,insanepeoplefacebook
"Obviously some babies are on formula, but MOST babies this age are breastfed. So what I'm asking is why you all seem to think it's harmful for a newborn to not have animal products.",-10,1,insanepeoplefacebook
"That's not what you asked. I don't think this and am not vegan or vegetarian. I literally just thought you had the 2 words mixed up, that is all.",5,1,insanepeoplefacebook
I'm sorry I didn't spell out the definition of veganism in my flippant comment. Jesus Christ.,-12,1,insanepeoplefacebook
The question you asked in your comment also didnt relate to veganism.,8,1,insanepeoplefacebook
I'm so fucking sorry for saying meat instead of animal products. It was meant to be funny. Are you happy now?,-5,1,insanepeoplefacebook
"No, because the intent was not to upset anyone, it was a literal misunderstanding my guy.",8,1,insanepeoplefacebook
I thought vegetarian and vegan people were the same . Now i know why people consider vegan people annoying.,-4,0,insanepeoplefacebook
Medium rare or bust,5,0,insanepeoplefacebook
[removed],11,1,insanepeoplefacebook
Some vegans don't consider breast milk vegan.,4,1,insanepeoplefacebook
[removed],6,1,insanepeoplefacebook
You asked what's wrong with a baby being on a vegan diet and I answered. I'm not assuming anything.,0,1,insanepeoplefacebook
[removed],3,1,insanepeoplefacebook
"That's crazy, have you met every single vegan on the planet? I know vegans that don't think breast milk is vegan. The alt is soy formula. Either way, the baby should be healthy if they're feeding him. You can't possibly know what most of any group of people feel or believe. Speak for yourself, no one else. That's the very definition of assumption. How dumb.",-4,1,insanepeoplefacebook
[removed],2,1,insanepeoplefacebook
I am way to tired to point out the irony in your comment. It’s so painfully obviously what I’m talking about so it’s not even worth it.,-1,0,insanepeoplefacebook
Looks like baby gollum.,3,0,insanepeoplefacebook
Wtf that baby should be eating steak,0,0,insanepeoplefacebook
There veganism is killing this child,-1,0,insanepeoplefacebook
Failure to thrive,0,0,insanepeoplefacebook
